                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8429,                 3.7067,                 2.6999,                 1.8066,                0.20455,                0.38028,                0.12676,                0.04057,                0.10249,                0.28169,                0.07173,                0.02397,                 2.7231,                  6.587,                 38.899,                 3.3918,                0.00036,                0.00036,                0.00036
                      1,                 1.4207,                 2.7206,                 1.6325,                 1.4814,                 0.0978,                0.56338,                0.07593,                0.03371,                0.01041,                0.22228,                0.00447,                0.00063,                 2.1924,                 6.0025,                 69.766,                 2.6679,             0.00073267,             0.00073267,             0.00073267
                      2,                 1.4603,                 2.6172,                 1.5121,                 1.5078,                0.08103,                0.57746,                0.08902,                0.02891,                0.01779,                0.12676,                0.00463,                0.00102,                 2.4009,                 7.7736,                    inf,                 3.2224,              0.0010978,              0.0010978,              0.0010978
                      3,                  1.689,                 2.7367,                 1.6064,                  1.596,                0.05057,                0.69014,                0.04612,                0.01522,                0.00185,                0.08451,                0.00077,                0.00011,                 2.3637,                 9.0149,                 126.95,                 3.9618,              0.0014555,              0.0014555,              0.0014555
                      4,                 1.7079,                 3.1696,                 1.6665,                 1.6553,                0.03529,                0.97183,                0.03769,                0.01382,                0.00278,                0.15493,                0.00141,                0.00022,                 2.4369,                 20.523,                    inf,                 7.0123,              0.0018056,              0.0018056,              0.0018056
                      5,                 1.6558,                 2.8777,                 1.5759,                 1.6066,                0.03899,                0.91549,                0.04541,                0.01829,                 0.0102,                0.23944,                0.00688,                0.00132,                 2.3261,                 13.859,                 239.68,                 4.2513,               0.001901,               0.001901,               0.001901
                      6,                 1.8072,                 2.7762,                 1.5917,                 1.7338,                0.05263,                0.84507,                0.07047,                0.02232,                 0.0193,                0.30986,                0.01249,                0.00265,                 2.4129,                 8.8826,                 174.24,                 3.1244,               0.001901,               0.001901,               0.001901
                      7,                 1.6794,                 2.7087,                  1.534,                 1.6763,                0.13061,                0.57746,                0.12234,                0.02739,                0.04325,                 0.1831,                0.02007,                0.00371,                 2.9185,                 4.8687,                 25.097,                 3.2429,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5961,                 2.8136,                 1.4599,                 1.5696,                0.06505,                0.50704,                0.05598,                0.01183,                0.05632,                 0.1831,                0.02318,                0.00492,                 2.9275,                 4.0494,                 16.179,                 2.6087,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5875,                  2.991,                 1.3907,                 1.5999,                0.21259,                0.29577,                0.18366,                 0.0433,                0.08175,                0.19718,                0.11025,                0.01516,                 2.9334,                 3.3415,                 7.3867,                 2.6361,              0.0018416,              0.0018416,              0.0018416
